containing_ceremony,containing_process_area,title,strengthens,satisfy,demonstrated
Backlog Grooming,Requirements Management (REQM),Understand Requirements,Provides criteria for evaluation and acceptance of requirements that are critical to writing clear and implementable user stories. The emphasis on ensuring understanding is crucial to successfully prioritize and implement these stories.,"Backlog grooming occurs as scheduled; product owner, Scrum Master, and team members are in attendance; stories and epics are in the backlog; clarifying questions are asked leading to an understanding of the size and complexity of the user story or epic; definition of done for the user story indicates criteria for acceptance were met.",Attend a backlog grooming session; view backlog inventory; story points are assigned and epic sizing is completed; backlog is documented on a board or in a tool.
Backlog Grooming,Requirements Management (REQM),Obtain Commitment To Requirements,"The CMMI has an emphasis on gathering feedback and ensuring dialogue with key and extended stakeholders throughput the lifecycle of the project. Identification of extended stakeholders, and monitoring their participation in committing to requirements will help avoid misunderstandings of the meaning of requirements.","Backlog grooming occurs as scheduled; all members are in attendance; and new, modified, or deleted user stories and epics are reviewed by each member ",Attend a backlog grooming session; view backlog inventory; story points are assigned and epic sizing is completed; backlog is documented on a board or in a tool.
Backlog Grooming,Requirements Management (REQM),Manage Requirements Changes,CMMI focuses on capture of the change purpose and history. This could be done so informally in agile organizations that you move closer to chaos. Some change structure ensures most important business value is delivered.,"Epics and user stories are tied to tasks and a Definition of Done in a tool like Jira or Version One, or a manual process is employed.","Attend a backlog grooming session; mapping from the epics, to parent user stories, to child user stories exists (could be in a tool); backlog is documented on a board or in a tool."
Backlog Grooming,Requirements Management (REQM),Maintain Bi-directional Traceability,Bi-directional traceability helps ensure that validated epics and stories are fully implemented and identify what gaps still exist. Used to support and validate metrics related to release burn down. ,"Epics and user stories are tied to tasks and a Definition of Done in a tool like Jira or Version One, or a manual process is employed.","Attend a backlog grooming session; mapping from the epics, to parent user stories, to child user stories exists (could be in a tool); backlog is documented on a board or in a tool."
Backlog Grooming,Requirements Management (REQM),Ensure Alignment Between Project Work & Requirements,"The CMMI reminds us to constantly review commitments, practices in use, and how they support user story implementation. This practice would also feed the retrospective.","Backlog grooming occurs as scheduled; all members are in attendance; and user stories are clarified and expectations related to the requirement then shape team skills required, environments required, architectures required, and so on.",Backlog grooming session occurs; attend a backlog grooming session; backlog is documented on a board or in a tool.
Backlog Grooming,Requirements Development (RD),Elicit Needs,"This practice places emphasis on proactive elicitation of needs from the business, customers, SMEs, the team, and others. Annual product planning, release planning, and backlog grooming combine to help meet this practice.","Backlog grooming sessions are continuous, and can be held as scheduled meetings to identify new and changing requirements that are documented as epics and user stories and stored in the backlog.","Backlog grooming sessions are continuous, and can be held as scheduled meetings to identify new and changing requirements that are documented as epics and user stories and stored in the backlog."
Backlog Grooming,Requirements Development (RD),Transform Stakeholder Needs Into Customer Requirements,"This practice fully supports creation of epics and user stories. This practice includes prioritization of the backlog, which defines constraints on implementation.","Parent and children user stories are created, modified, or deleted in regularly scheduled backlog grooming sessions.",User stories are documented on a board or in a tool; parent and child user stories are visible on a wall or in a tool.
Backlog Grooming,Requirements Development (RD),Establish Product And Product Component Requirements,"This practice provides context for architecture, interfaces, non-functional, and derived requirements. These would be captured as user stories.","The modification of user stories and epics due to changes by the product owner addresses the “maintained” aspect of this SP, and establishment of requirements is met via the creation of a partner or children user stories that contain more specific data required to implement the requirement.",User stories are documented on a board or in a tool.
Backlog Grooming,Requirements Development (RD),Identify Interface Requirements,This practice supports the need to capture interface requirements as user stories.,Interface requirements are identified and addressed through user stories.,Interface user stories are documented on a board or in a tool.
Backlog Grooming,Requirements Development (RD),Establish Operational Concepts And Scenarios,This practice supports defining the user scenario (business scenarios) for how a story is implemented and the need to do so. This should be evident in the set of user stories.,"Backlog grooming sessions result in the creation of user stories and epics that clarify how the user story must behave using the format, “As an XXX, I need to XXX so that I can XXX.”",User stories are stored in the backlog on a board or in a tool; user stories use a standard format that clearly articulates the business scenario for how the story will be used to implement a business need.
Backlog Grooming,Requirements Development (RD),Establish A Definition Of Required Functionality And Quality Attributes,"This practice supports definition of “what good looks like” for the story. The logical grouping of functions supports understanding sequencing of stories, which is important to ensure shipping a fully functioning system.",The user story populated during backlog grooming contains acceptance criteria and quality attributes that define “what success looks like” and is used to define testing and user story demonstration acceptance criteria,Acceptance criteria are incorporated into the user story. Test scripts implement the acceptance criteria. Demonstrations and sprint reviews validate that the acceptance criteria are met.
Backlog Grooming,Requirements Development (RD),Analyze Requirements,This practice focuses on ensuring that all epics and user stories are necessary and support higher-level requirements (parent/child relationships). This also supports the tracing of requirements.,"During backlog grooming sessions, the product owner and team analyze the epics and user stories and ask clarifying questions to understand what is required to implement them.",User stories and epics are updated in the backlog to reflect the results of the analysis; attend backlog grooming sessions.
