title,detail,image
Burn-down Chart,"a chart which shows the amount of work which is thought to remain in a backlog. Time is shown on the horizontal axis and work remaining on the vertical axis. As time progresses and items are drawn from the backlog and completed, a plot line showing work remaining may be expected to fall. The amount of work may be assessed in any of several ways such as user story points or task hours. Work remaining in Sprint Backlogs and Product Backlogs may be communicated by means of a burn-down chart. See also: Burnup Chart",https://blogs.deusto.es/master-informatica/wp-content/uploads/2015/12/BurnDownChartRelease.png
Burn-up Chart,"a chart which shows the amount of work which has been completed. Time is shown on the horizontal axis and work completed on the vertical axis. As time progresses and items are drawn from the backlog and completed, a plot line showing the work done may be expected to rise. The amount of work may be assessed in any of several ways such as user story points or task hours. The amount of work considered to be in-scope may also be plotted as a line; the burn-up can be expected to approach this line as work is completed.",https://www.modernanalyst.com/Portals/0/Users/003/03/3/Burn%20up%20Chart%203.gif
Coherent/Coherence,The quality of the relationship between certain Product Backlog items which may make them worthy of consideration as a whole. See also: Sprint Goal.,https://www.thoughtco.com/thmb/UBR9dzxF0MAhztTx5OB7bbrO1Qs=/768x0/filters:no_upscale():max_bytes(150000):strip_icc()/Getty_coherence-175822213-57d4ce985f9b589b0abc1349.jpg
Daily Scrum,Daily time-boxed event of 15 minutes for the Development Team to re-plan the next day of development work during a Sprint. Updates are reflected in the Sprint Backlog.,https://cdn-images-1.medium.com/max/2400/1*Wys3QqpPv3ZlAFjhUsiEGA.png
Definition of Done,a shared understanding of expectations that the Increment must live up to in order to be releasable into production. Managed by the Development Team.,https://agilethought.com/wp-content/uploads/2018/10/Definition-of-done.jpg
Development Team,"the role within a Scrum Team accountable for managing, organizing and doing all development work required to create a releasable Increment of product every Sprint.",https://www.dotnear.com/wp-content/uploads/2017/09/Benefits-of-Working-with-a-Nearshore-Software-Development-Team-1.jpg
Emergence,"the process of the coming into existence or prominence of new facts or new knowledge of a fact, or knowledge of a fact becoming visible unexpectedly.",https://i.ytimg.com/vi/X_IuG3kJY_g/maxresdefault.jpg
Empiricism,"process control type in which only the past is accepted as certain and in which decisions are based on observation, experience and experimentation. Empiricism has three pillars: transparency, inspection and adaptation.",https://t4.ftcdn.net/jpg/01/90/19/33/240_F_190193379_toz08JVHk8fO5uZ3r7L2NCfmg8Dku9Xd.jpg
Engineering standards,a shared set of development and technology standards that a Development Team applies to create releasable Increments of software.,https://www.littleelm.org/ImageRepository/Document?documentID=11453
Forecast (of functionality),the selection of items from the Product Backlog a Development Team deems feasible for implementation in a Sprint.,https://scrumorg-website-prod.s3.amazonaws.com/drupal/inline-images/2017-03/SprintBacklog_0.png
Increment,"a piece of working software that adds to previously created Increments, where the sum of all Increments -as a whole - form a product.",http://69.164.212.71/wp-content/uploads/2008/11/incremental-model-e1425812395282.jpg
Product Backlog,"an ordered list of the work to be done in order to create, maintain and sustain a product. Managed by the Product Owner.",https://miro.com/static/images/page/examples/detail/product-backlog.png
Product Backlog refinement,the activity in a Sprint through which the Product Owner and the Development Teams add granularity to the Product Backlog.,https://quickscrumncrm.azurewebsites.net/UploadedImages/DigitalMarketingImage/sg-product-backlog-refinement_20161017101427752.png
Product Owner,"the role in Scrum accountable for maximizing the value of a product, primarily by incrementally managing and expressing business and functional expectations for a product to the Development Team(s).",https://hygger.io/blog/wp-content/uploads/2018/09/multitasking-illustration-vector.jpg
Ready,a shared understanding by the Product Owner and the Development Team regarding the preferred level of description of Product Backlog items introduced at Sprint Planning.,https://image.slidesharecdn.com/ndppt-141026090605-conversion-gate01/95/now-digital-are-you-ready-for-change-4-638.jpg?cb=1414314778
Scrum,"a framework to support teams in complex product development. Scrum consists of Scrum Teams and their associated roles, events, artifacts, and rules.",https://i.ytimg.com/vi/2Vt7Ik8Ublw/maxresdefault.jpg
Scrum Board,"a physical board to visualize information for and by the Scrum Team, often used to manage Sprint Backlog. Scrum boards are an optional implementation within Scrum to make information visible.",https://www.smartsheet.com/file/scrum2jpg
Scrum Master,"the role within a Scrum Team accountable for guiding, coaching, teaching and assisting a Scrum Team and its environments in a proper understanding and use of Scrum.",https://drive.google.com/open?id=1CkDsfETcn46EByfGEJftrNUMD2Y6c472
Scrum Team,"a self-organizing team consisting of a Product Owner, Development Team and Scrum Master.",https://cdn-images-1.medium.com/max/1600/1*88mVcs1FXM2KFIiosfIzxA.png
Scrum Values,"a set of fundamental values and qualities underpinning the Scrum framework; commitment, focus, openness, respect and courage.",https://scrumorg-website-prod.s3.amazonaws.com/drupal/inline-images/2018-05/ScrumValues-500.png
Self-organization,"the management principle that teams autonomously organize their work. Self-organization happens within boundaries and against given goals. Teams choose how best to accomplish their work, rather than being directed by others outside the team.",https://cdn-images-1.medium.com/max/1200/1*cOpoD8dRb3-r0Yws0q2iPA.jpeg
Sprint,"time-boxed event of 30 days, or less, that serves as a container for the other Scrum events and activities. Sprints are done consecutively, without intermediate gaps.",https://mir-s3-cdn-cf.behance.net/project_modules/1400/3877aa53324483.5930258da9802.jpg
